Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Shots,SOT,Tackles,ABW 
Son Heung-Min,2017-2018,1992,25,Tottenham,South Korea,27000000,45000000,FW,28,1105,4,447,1,38,13,27,0.32
Jesé,2017-2018,1993,24,Stoke City,Spain,6750000,6750000,FW,13,616,1,146,1,13,5,10,0
Jesús Navas,2015-2016,1985,30,Manchester City,Spain,18000000,18000000,FW,34,2279,0,1268,7,31,8,29,0.214285714
Juan Mata,2015-2016,1988,27,Manchester United,Spain,31400000,27900000,FW,38,2898,6,1803,5,57,22,30,0.222222222
Scott Sinclair,2015-2016,1989,26,Aston Villa,Spain,2150000,3150000,FW,15,1292,0,1228,3,24,8,28,0.142857143
Willian,2016-2017,1988,27,Chelsea,Brazil,28800000,28800000,FW,34,1529,8,777,2,44,15,19,0.083333333
Stéphane Sessègnon,2015-2016,1984,31,West Bromwich Albion,Benin,2000000,1800000,FW,25,1758,2,552,2,31,10,19,0.243243243
Steve Mounie,2017-2018,1994,23,Huddersfield Town,Benin,6050000,9000000,FW,28,1858,7,523,1,49,21,11,0.521428571
Steve Mounie,2018-2019,1994,24,Huddersfield Town,Benin,9000000,9000000,FW,28,1858,7,523,1,49,21,11,0.521428571
Zlatan Ibrahimovic,2016-2017,1981,35,Manchester United,Sweden,13500000,9000000,FW,28,2437,17,1041,5,115,46,10,0.497005988
Emmanuel Adebayor,2015-2016,1984,31,Crystal Palace,Togo,5500000,2250000,FW,12,616,1,230,1,12,4,2,0.317460317
Tammy Abraham,2017-2018,1997,20,Swansea City,England,8800000,28800000,FW,31,1720,5,300,1,42,15,10,0.402061856
Theo Walcott,2017-2018,1989,28,Everton,England,22000000,22000000,FW,28,1925,10,538,2,62,29,36,0.35
Theo Walcott,2015-2016,1989,26,Arsenal,England,27500000,24800000,FW,28,1925,10,538,2,62,29,36,0.35
Theo Walcott,2018-2019,1989,29,Everton,England,18000000,16200000,FW,28,1925,10,538,2,62,29,36,0.35
Troy Deeney,2015-2016,1988,27,Watford,England,8000000,9900000,FW,38,3291,13,1289,7,94,32,49,0.525727069
Floyd Ayité,2018-2019,1988,29,Fulham,Togo,3300000,2250000,FW,16,468,1,192,0,7,1,4,0.461538462
Troy Deeney,2016-2017,1988,28,Watford,England,9900000,9900000,FW,38,3291,13,1289,7,94,32,49,0.525727069
Troy Deeney,2017-2018,1988,29,Watford,England,9900000,9000000,FW,38,3291,13,1289,7,94,32,49,0.525727069
Troy Deeney,2018-2019,1988,30,Watford,England,9000000,9000000,FW,38,3291,13,1289,7,94,32,49,0.525727069
